,Name,Artist,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,year
3297,Two Black Cadillacs,Carrie Underwood,0.0223,0.555,297947,0.854,0,3.95E-06,5,0.0672,1.015425556,0,0.0609,119.991,0.448,2012
3298,Two People Fell In Love,Brad Paisley,0.332,0.6,247173,0.44,0,0,0,0.148,1.013669444,1,0.0291,80.334,0.381,2001
3299,Type Of Way,Rich Homie Quan,0.146,0.846,261321,0.497,1,0,6,0.0733,1.013840556,0,0.419,134.875,0.796,2013
3300,U Don'T Have To Call,Usher,0.0478,0.793,269400,0.568,1,3.57E-05,1,0.0304,1.015289444,1,0.0459,100.005,0.806,2001
3301,U Don'T Know Me,T.I.,0.0496,0.779,243506,0.66,1,0,1,0.0825,1.015318333,1,0.17,83.914,0.526,2004
3302,U Got It Bad,Usher,0.0227,0.816,247840,0.5,0,1.53E-06,1,0.0733,1.0154025,1,0.03,124.037,0.649,2001
3303,U Guessed It,Og Maco,0.0125,0.843,146064,0.286,1,1.69E-06,1,0.0681,1.013729167,1,0.352,120.06,0.265,2014
3304,U Know What'S Up,Donell Jones,0.0668,0.8245,241306.5,0.4845,0,0.00138,10,0.0578,1.014868611,0,0.05365,103.017,0.868,1999
3305,U Remind Me,Usher,0.194,0.657,266893,0.629,0,0,6,0.254,1.015295,1,0.0782,93.985,0.726,2001
3306,U Should'Ve Known Better,Monica,0.191,0.753,257787,0.516,0,0,6,0.275,1.015232222,1,0.0308,122.019,0.826,2003
3307,U Smile,Justin Bieber,0.504,0.705,196907,0.59,0,0,1,0.116,1.015192222,1,0.0284,112.565,0.421,2010
3308,U Understand,Juvenile,0.0585,0.901,259293,0.829,1,0,5,0.0498,1.015545556,0,0.146,99.766,0.674,1999
3309,U With Me?,Drake,0.338,0.429,297373,0.43,1,1.18E-05,2,0.138,1.0135075,1,0.165,174.983,0.125,2016
3310,Uber Everywhere,Madeintyo,0.0542,0.779,153429,0.455,1,0,1,0.177,1.012493056,1,0.28,140.181,0.197,2016
3311,Ugly,Bubba Sparxxx,0.32,0.755,265227,0.836,1,3.03E-05,6,0.199,1.015071667,1,0.166,90.847,0.696,2001
3312,Uh Huh,B2K,0.0881,0.855,223293,0.681,0,3.70E-06,2,0.0592,1.015290278,1,0.0688,99.699,0.908,2002
3313,Ultralight Beam,Kanye West,0.62,0.592,320680,0.403,1,0,0,0.54,1.014231111,0,0.414,105.169,0.391,2016
3314,Ultraviolence,Lana Del Rey,0.278,0.144,251480,0.541,0,1.01E-05,0,0.101,1.014701111,1,0.038,79.262,0.0899,2014
3315,Uma Thurman,Fall Out Boy,0.103,0.623,211573,0.962,0,0.000174,4,0.264,1.01594,0,0.0895,149.963,0.676,2015
3316,Umma Do Me,Rocko,0.0833,0.475,230547,0.605,1,0,2,0.267,1.015251111,1,0.215,137.074,0.291,2008
3317,Unappreciated,Cherish,0.0888,0.735,235333,0.521,0,0,7,0.065,1.014806667,0,0.0876,77.01,0.374,2006
3318,Unconditionally,Katy Perry,0.002695,0.4145,228879,0.725,0,0,7,0.208,1.015316111,1,0.04305,128.8815,0.3555,2013
3319,Undecided,Chris Brown,0.292,0.407,185000,0.612,1,0,5,0.198,1.015448056,0,0.129,96.943,0.488,2019
3320,Under,Pleasure P,0.202,0.675,231160,0.678,0,1.49E-06,5,0.144,1.014680278,0,0.0625,119.986,0.474,2009
3321,Under And Over It,Five Finger Death Punch,1.41E-05,0.473,218133,0.996,1,0,11,0.26,1.015825833,0,0.173,76.006,0.0952,2007
3322,Under Pressure,"Queen, David Bowie",0.394,0.659,245507,0.545,0,0,2,0.0859,1.01312,1,0.0514,113.458,0.406,1982
3323,Underneath The Tree,Kelly Clarkson,0.00128,0.509,229640,0.812,0,1.99E-05,8,0.214,1.015155833,1,0.0537,159.878,0.689,2013
3324,Underneath Your Clothes,Shakira,0.686,0.616,224067,0.597,0,0,8,0.104,1.015186667,1,0.0415,165.508,0.362,2001
3325,Undo It,Carrie Underwood,0.11,0.476,177253,0.84,0,0,2,0.046,1.016039167,1,0.058,156.254,0.648,2009
3326,Undrunk,Fletcher,0.489,0.442,183428,0.579,1,1.04E-06,5,0.126,1.014865556,1,0.145,83.336,0.546,2019
3327,Unfaithful,Rihanna,0.839,0.588,226973,0.391,0,0,0,0.227,1.014275833,0,0.0334,144.069,0.349,2006
3328,Unforgettable,Thomas Rhett,0.0303,0.661,157326.5,0.75,0,0.000132,7,0.08475,1.015139722,1,0.0314,130.077,0.828,2017
3329,Unica,Ozuna,0.212,0.653,218387,0.859,0,0,0,0.111,1.01582,1,0.0449,174.038,0.706,2018
3330,Unpretty,Tlc,0.00152,0.648,278067,0.622,0,5.97E-05,7,0.109,1.0149825,1,0.0428,88.684,0.51,1999
3331,Unsteady,X Ambassadors,0.178,0.389,193547,0.665,0,0.000732,0,0.116,1.014953056,1,0.0644,117.055,0.199,2015
3332,Unstoppable,Rascal Flatts,0.0738,0.473,227720,0.799,0,0,3,0.121,1.015333889,1,0.0483,155.892,0.506,2009
3333,Untouchable,Taylor Swift,0.0583,0.419,311040,0.454,0,3.78E-06,5,0.0974,1.014775278,1,0.0335,200.017,0.288,2008
3334,Untouchable,Youngboy Never Broke Again,0.06005,0.774,180706,0.787,1,8.95E-07,1,0.126,1.015259722,1,0.1885,84.9865,0.414,2017
3335,Untouched,The Veronicas,0.017,0.557,254860,0.8,0,0.01935,6,0.145,1.015470278,0,0.236,177.0045,0.475,2007
3336,Unwell,Matchbox Twenty,0.0298,0.256,228707,0.788,0,0,6,0.707,1.015204722,0,0.0403,80.718,0.429,2002
3337,Unwritten,Natasha Bedingfield,0.00577,0.706,259333,0.801,0,0,5,0.0822,1.0149075,1,0.0399,100.013,0.63,2004
3338,Up All Night,Jon Pardi,0.185,0.549,209640,0.713,0,0,9,0.112,1.015295833,1,0.0306,162.989,0.463,2014
3339,Up!,Shania Twain,0.0869,0.618,172907,0.748,0,0,0,0.647,1.015519167,1,0.0373,125.94,0.584,2002
3340,Uprising,Muse,0.000202,0.602,304840,0.905,0,0.064,2,0.117,1.015542778,1,0.0775,128.019,0.411,2009
3341,Upside Down,Jack Johnson,0.2465,0.7895,209100,0.651,0,0.000197,5,0.135,1.01435375,1,0.04405,102.481,0.672,2006
3342,Use Somebody,Kings Of Leon,0.00552,0.276,230760,0.715,0,0.000417,0,0.201,1.015178889,1,0.0432,137.028,0.173,2008
3343,Used To Love U,John Legend,0.0347,0.661,210867,0.796,0,0,7,0.396,1.01534,1,0.0833,87.982,0.657,2005
3344,Used To Love You Sober,Kane Brown,0.0405,0.525,181680,0.674,0,0,1,0.339,1.014985278,1,0.0282,147.978,0.431,2016
3345,V. 3005,Childish Gambino,0.119,0.676,234215,0.446,0,0,6,0.112,1.014679722,0,0.329,82.912,0.655,2013
3346,Va Va Voom,Nicki Minaj,0.0625,0.648,183560,0.836,1,0.00995,8,0.202,1.015723889,1,0.0316,126.889,0.705,2012
3347,Vaina Loca,"Ozuna, Manuel Turizo",0.315,0.754,176133,0.805,0,0,6,0.203,1.015486389,1,0.0752,93.982,0.555,2018
3348,Valuable Pain,Youngboy Never Broke Again,0.23,0.525,169459,0.811,1,0,5,0.213,1.015082778,0,0.345,169.685,0.513,2018
3349,Vanilla Twilight,Owl City,0.00951,0.5815,231707,0.5275,0,0.0005465,11,0.113,1.014545,1,0.02505,166.104,0.5695,2009
3350,Vans,The Pack,0.105,0.892,255467,0.452,1,7.29E-06,4,0.0685,1.014477222,0,0.351,102.052,0.392,2006
3351,Venus,Lady Gaga,0.0267,0.811,233720,0.895,1,0,5,0.104,1.015471111,0,0.0608,121.01,0.736,2013
3352,Versace,Migos,0.0384,0.841,195474,0.729,1,0,6,0.276,1.015820278,0,0.239,132.073,0.444,2013
3353,Versace On The Floor,Bruno Mars,0.196,0.578,261240,0.574,0,0,2,0.083,1.014941944,1,0.0454,174.152,0.301,2016
3354,Vertigo,Khalid,0.552,0.487,270413,0.458,0,0.0257,4,0.117,1.014510833,0,0.0371,115.989,0.207,2018
3355,Vertigo,U2,0.000138,0.416,194020,0.819,0,0.00108,9,0.1345,1.015562778,1,0.0613,140.083,0.632,2004
3356,Vice,Miranda Lambert,0.101,0.568,240280,0.562,0,6.16E-05,9,0.363,1.014506944,1,0.0418,133.647,0.247,2016
3357,Victorious,Panic! At The Disco,0.00205,0.57,178600,0.865,0,0,8,0.404,1.015411667,1,0.0472,110.01,0.691,2016
3358,Video,India.Arie,0.111,0.652,249960,0.604,0,1.01E-05,9,0.0409,1.014231667,0,0.227,170.003,0.675,2001
3359,Views,Drake,0.0657,0.395,311960,0.852,1,0,5,0.262,1.015028889,1,0.37,76.428,0.112,2016
3360,Ville Mentality,J. Cole,0.745,0.87,194347,0.386,1,0.00013,7,0.122,1.014488056,0,0.0684,119.91,0.642,2016
3361,Violent Crimes,Kanye West,0.376,0.669,215320,0.419,1,0,1,0.187,1.014798889,0,0.522,109.813,0.0397,2018
3362,Violet Hill,Coldplay,0.0614,0.33,222653,0.58,0,0.00129,1,0.115,1.014479167,0,0.0374,76.093,0.11,2008
3363,Viva La Vida,Coldplay,0.0954,0.486,242373,0.617,0,3.23E-06,5,0.109,1.014690278,0,0.0287,138.015,0.417,2008
3364,Vivir Mi Vida,Marc Anthony,0.345,0.656,252347,0.877,0,0,0,0.349,1.015769167,0,0.0342,105.018,0.894,2013
3365,Voices,Chris Young,0.38,0.552,186107,0.788,0,0,0,0.15,1.015524444,1,0.0525,76.528,0.641,2009
3366,Vulnerable,Secondhand Serenade,0.549,0.422,200160,0.519,0,0,0,0.102,1.015130278,1,0.0339,179.811,0.358,2007
3367,Wagon Wheel,Darius Rucker,0.455,0.537,298373,0.66,0,0,9,0.135,1.014673889,1,0.0296,148.096,0.574,2013
3368,Wait,Maroon 5,0.0959,0.655,190643,0.603,0,0,8,0.107,1.015273889,1,0.0555,126.088,0.452,2018
3369,Wait For You,Elliott Yamin,0.25,0.764,261320,0.487,0,0,0,0.184,1.014796111,1,0.0281,116.027,0.352,2007
3370,Waitin' On A Woman,Brad Paisley,0.0846,0.548,272587,0.617,0,5.09E-05,0,0.113,1.014696389,1,0.0283,76.371,0.339,2005
