,Name,Artist,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,year
0,...Ready For It?,Taylor Swift,0.05269999999999998,0.6129999999999998,208187.0,0.7639999999999998,0,0.0,2.0,0.19700000000000004,0.8915166666666667,1,0.13600000000000007,160.01499999999993,0.41699999999999987,2017
1,0 To 100 / The Catch Up,Drake,0.737,0.5589999999999999,275227.0,0.7159999999999997,1,0.0,11.0,0.2519999999999999,0.9339333333333333,0,0.3899999999999999,176.61799999999997,0.5039999999999998,2013
2,1 Thing,Amerie,0.10700000000000001,0.612,238760.0,0.961,0,4.169999999999999e-05,10.0,0.0413,0.9487,0,0.3330000000000001,129.87300000000002,0.8670000000000003,2005
3,1.5,21 Savage,0.000244,0.885,148656.0,0.52,1,1.16e-06,1.0,0.45399999999999996,0.8607833333333333,1,0.359,84.022,0.306,2018
4,10 Bands,Drake,0.26500000000000007,0.8249999999999998,177733.0,0.7560000000000001,1,2.1500000000000006e-06,11.0,0.07620000000000002,0.93855,0,0.38299999999999995,172.93800000000005,0.888,2015
5,100 Grandkids,Mac Miller,0.371,0.735,278507.0,0.7490000000000001,1,0.0,10.0,0.47,0.9372333333333334,0,0.0874,93.71799999999999,0.373,2015
6,100 Years,Five For Fighting,0.551,0.6406666666666664,244457.6666666667,0.5656666666666669,0,1.7493333333333324e-05,7.0,0.15103333333333335,0.8757111111111111,1,0.027533333333333333,120.50033333333339,0.27933333333333343,1997
7,1234,Feist,0.21700000000000005,0.7100000000000002,183667.0,0.484,0,3.929999999999999e-06,2.0,0.08790000000000002,0.8764166666666666,1,0.04900000000000001,109.95100000000001,0.5760000000000003,2007
8,18,One Direction,0.22,0.6809999999999999,248360.0,0.5820000000000001,0,0.0,6.0,0.11900000000000001,0.8706666666666667,0,0.0313,124.038,0.221,2014
9,1901,Phoenix,0.0605,0.5910000000000001,193107.0,0.8309999999999996,0,4.6700000000000003e-05,0.0,0.18999999999999997,0.9058833333333334,1,0.041499999999999995,144.08400000000003,0.705,2009
10,1973,James Blunt,0.0652,0.7200000000000001,280027.0,0.6679999999999998,0,0.006640000000000001,9.0,0.0789,0.8678666666666667,1,0.026899999999999997,123.007,0.7680000000000001,2007
11,1985,Bowling For Soup,0.00024199999999999997,0.606,193000.0,0.8870000000000002,0,0.0,4.0,0.33699999999999997,0.9266000000000001,1,0.0598,119.97399999999998,0.9030000000000001,2004
12,1994,Jason Aldean,0.18300000000000002,0.598,242680.0,0.777,0,0.0,11.0,0.111,0.8887333333333334,0,0.03960000000000001,159.942,0.8209999999999998,2012
13,1999,Prince,0.13699999999999998,0.866,379267.0,0.73,0,0.0,5.0,0.0843,0.8633166666666666,1,0.0767,118.523,0.625,1982
14,2 Phones,Kevin Gates,0.157,0.8949999999999997,240000.0,0.6809999999999996,1,0.0,7.0,0.18900000000000003,0.9122166666666667,0,0.3579999999999999,121.918,0.5540000000000002,2016
15,2 Step,Unk,0.058300000000000005,0.763,195787.0,0.7970000000000003,1,0.0,11.0,0.2990000000000001,0.9621,0,0.09769999999999995,77.00299999999999,0.6449999999999998,2006
16,21 Guns,Green Day,0.05179999999999998,0.2679999999999999,321093.0,0.7420000000000003,0,0.0,5.0,0.6259999999999999,0.9176833333333334,1,0.03549999999999999,159.779,0.4160000000000002,2009
17,22,Taylor Swift,0.0021499999999999996,0.6590000000000001,230795.33333333334,0.7289999999999998,0,0.0012999999999999995,7.0,0.06603333333333336,0.8906499999999999,1,0.03773333333333332,104.00033333333337,0.6679999999999997,2012
18,24'S,T.I.,0.2269999999999999,0.6790000000000002,261507.0,0.7680000000000001,0,0.0,6.0,0.3550000000000001,0.9335833333333333,1,0.13600000000000007,162.02,0.7349999999999999,2003
19,24/7,Kevon Edmonds,0.0685,0.6959999999999998,274267.0,0.6270000000000001,0,0.0,4.0,0.09929999999999997,0.9061833333333333,1,0.03339999999999999,116.047,0.322,1999
20,24K Magic,Bruno Mars,0.03400000000000002,0.8180000000000004,225983.0,0.8030000000000004,0,0.0,1.0,0.15299999999999986,0.9286333333333333,1,0.07969999999999991,106.96999999999993,0.6320000000000005,2016
21,25 To Life,Eminem,0.239,0.701,241587.0,0.9309999999999999,1,0.0,8.0,0.19399999999999998,0.98425,0,0.243,79.99600000000001,0.36200000000000004,2010
22,3,Britney Spears,0.04520000000000001,0.6969999999999997,213173.0,0.7089999999999999,0,0.0,5.0,0.13799999999999996,0.96805,0,0.04549999999999999,134.91,0.7870000000000004,2009
23,3 Peat,Lil Wayne,0.00117,0.673,199427.0,0.66,1,0.0,7.5,0.07685,0.8780083333333333,1,0.36550000000000005,116.5305,0.464,2008
24,30 For 30 Freestyle,Drake,0.6709999999999999,0.7440000000000001,253935.0,0.619,1,0.0,4.0,0.12300000000000001,0.8476166666666667,0,0.39799999999999996,89.25200000000001,0.317,2015
25,365,"Zedd, Katy Perry",0.33899999999999997,0.745,181900.0,0.693,0,0.0,2.0,0.12300000000000001,0.9086833333333333,0,0.034,98.039,0.248,2019
26,4 In The Morning,Gwen Stefani,0.20000000000000004,0.6980000000000002,291107.0,0.8260000000000001,0,0.00012999999999999996,10.0,0.11400000000000005,0.8956500000000001,1,0.031000000000000014,92.40900000000002,0.5019999999999999,2006
27,44 More,Logic,0.0718,0.8240000000000001,188600.0,0.584,1,0.0,10.0,0.10600000000000001,0.8816999999999999,0,0.221,139.965,0.21899999999999994,2018
