,GrammyAward,GrammyYear,Genre,Name,Artist,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
29,Best Country Solo Performance,2016,Country,My Church,Maren Morris,0.243,0.517,197931.0,0.743,0,3.36e-06,9.0,0.107,0.9277333333333333,1,68,0.0363,76.979,0.664,2017
30,Best Country Song,2016,Country,Humble And Kind,Tim Mcgraw,0.679,0.355,259267.0,0.48,0,2.28e-06,11.0,0.12,0.8781666666666667,1,68,0.0282,100.956,0.13699999999999998,2015
31,Best Pop Solo Performance,2015,Pop,Thinking Out Loud,Ed Sheeran,0.474,0.7809999999999999,281560.0,0.445,0,0.0,2.0,0.184,0.8989833333333334,1,152,0.0295,78.998,0.591,2013
32,Best Rock Performance,2015,Rock,Don'T Wanna Fight,Alabama Shakes,0.259,0.606,232547.0,0.915,1,0.107,10.0,0.105,0.9451333333333334,0,57,0.166,100.43299999999999,0.551,2015
33,Best Metal Performance,2015,Rock,Cirice,Ghost,0.0025399999999999997,0.555,362093.0,0.7979999999999999,0,1.4999999999999999e-05,3.0,0.171,0.9057,1,56,0.0279,89.98700000000001,0.284,2015
34,Best R&B Performance,2015,R&B,Earned It (Fifty Shades Of Grey),The Weeknd,0.405,0.659,277680.0,0.29100000000000004,1,0.0,2.0,0.0771,0.8620833333333333,0,71,0.0348,119.829,0.406,2015
35,Best Rap Performance,2015,Rap,Alright,Kendrick Lamar,0.08030000000000001,0.7894999999999999,206911.5,0.7634999999999998,1,0.0,7.0,0.36285,0.9041333333333333,1,127,0.21650000000000003,110.03349999999999,0.616,2015
36,Best Country Solo Performance,2015,Country,Traveller,Chris Stapleton,0.0682,0.5429999999999999,222413.0,0.75,0,0.0166,2.0,0.125,0.88215,0,65,0.0282,88.10700000000001,0.758,2015
37,Best Country Duo/Group Performance,2015,Country,Girl Crush,Little Big Town,0.8420000000000001,0.5,193320.0,0.225,0,0.0,0.0,0.11199999999999999,0.8296666666666667,1,69,0.0302,173.78799999999998,0.355,2014
38,Best Rock Song,2014,Rock,Ain'T It Fun,Paramore,0.154,0.61,296520.0,0.893,0,4.41e-05,9.0,0.021,0.93865,1,73,0.0921,104.031,0.6729999999999999,2013
39,Best Rap Performance,2014,Rap,I,Kendrick Lamar,0.3644,0.648,283973.0,0.8465,1,1.485e-06,9.0,0.484,0.92015,1,124,0.19390000000000002,121.01050000000001,0.825,2014
40,Best Rap Song,2014,Rap,I,Kendrick Lamar,0.3644,0.648,283973.0,0.8465,1,1.485e-06,9.0,0.484,0.92015,1,124,0.19390000000000002,121.01050000000001,0.825,2014
41,Best Pop Solo Performance,2013,Pop,Royals,Lorde,0.121,0.674,190185.0,0.428,0,0.0,7.0,0.132,0.8416,1,149,0.122,84.87799999999999,0.337,2013
42,Best Rock Performance,2013,Rock,Radioactive,Imagine Dragons,0.106,0.44799999999999995,186813.0,0.784,0,0.00010800000000000001,9.0,0.6679999999999999,0.9385666666666667,1,134,0.0627,136.245,0.23600000000000002,2012
43,Best Metal Performance,2013,Rock,God Is Dead?,Black Sabbath,0.000193,0.379,532267.0,0.726,0,0.00266,3.0,0.0578,0.9177500000000001,0,55,0.0332,120.012,0.17800000000000002,2013
44,Best Country Solo Performance,2013,Country,Wagon Wheel,Darius Rucker,0.455,0.537,298373.0,0.66,0,0.0,9.0,0.135,0.8804333333333334,1,76,0.0296,148.096,0.574,2013
45,Best Rock Performance,2012,Rock,Lonely Boy,The Black Keys,0.00417,0.35600000000000004,193653.0,0.872,0,0.00975,2.0,0.0997,0.8693833333333333,1,72,0.068,166.3,0.607,2011
46,Best Rock Song,2012,Rock,Lonely Boy,The Black Keys,0.00417,0.35600000000000004,193653.0,0.872,0,0.00975,2.0,0.0997,0.8693833333333333,1,72,0.068,166.3,0.607,2011
47,Best R&B Performance,2012,R&B,Climax,Usher,0.547,0.647,232907.0,0.478,0,2.6899999999999997e-05,8.0,0.156,0.8527166666666667,1,62,0.0782,135.877,0.33299999999999996,2012
48,Best Traditional R&B Performance,2012,R&B,Love On Top,Beyoncé,0.0849,0.652,267413.0,0.748,0,0.0,0.0,0.604,0.9126333333333333,1,75,0.0887,94.1,0.652,2011
49,Best R&B Song,2012,R&B,Adorn,Miguel,0.0543,0.625,193147.0,0.5760000000000001,0,4.07e-05,11.0,0.187,0.9051166666666667,0,118,0.175,179.063,0.235,2012
50,Best Country Solo Performance,2012,Country,Blown Away,Carrie Underwood,0.0909,0.531,240133.0,0.843,0,0.0,9.0,0.0283,0.9571833333333334,0,63,0.0429,136.991,0.392,2012
