,Name,Artist,Week,Weekly.rank,Genre,Date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year,Weeks.on.chart,Peak.position
19,American Idiot,Green Day,2004-12-15,93,"West Coast,Pop-Punk,Pop-Rock,Alternative Rock,Punk Rock,Rock","August 31, 2004",2.585e-05,0.3805,175333.0,0.986,1,7.384999999999999e-05,1.0,0.319,0.9628166666666667,1,140,0.06384999999999999,186.09699999999998,0.7895000000000001,2004,19.0,61.0
20,American Idiot,Green Day,2004-12-22,92,"West Coast,Pop-Punk,Pop-Rock,Alternative Rock,Punk Rock,Rock","August 31, 2004",2.585e-05,0.3805,175333.0,0.986,1,7.384999999999999e-05,1.0,0.319,0.9628166666666667,1,140,0.06384999999999999,186.09699999999998,0.7895000000000001,2004,19.5,61.0
21,American Idiot,Green Day,2004-12-29,90,"West Coast,Pop-Punk,Pop-Rock,Alternative Rock,Punk Rock,Rock","August 31, 2004",2.585e-05,0.3805,175333.0,0.986,1,7.384999999999999e-05,1.0,0.319,0.9628166666666667,1,140,0.06384999999999999,186.09699999999998,0.7895000000000001,2004,20.0,61.0
23,Beautiful Day,U2,2000-10-10,73,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,13.5,37.0
24,Beautiful Day,U2,2000-10-17,71,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,14.0,36.0
25,Beautiful Day,U2,2000-10-24,68,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,14.5,34.5
26,Beautiful Day,U2,2000-10-31,69,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,15.0,34.5
27,Beautiful Day,U2,2000-11-07,61,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,15.5,31.0
28,Beautiful Day,U2,2000-11-14,47,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,16.0,24.0
29,Beautiful Day,U2,2000-11-21,44,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,16.5,22.5
30,Beautiful Day,U2,2000-11-28,40,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,17.0,20.5
31,Beautiful Day,U2,2000-12-05,42,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,17.5,20.5
32,Beautiful Day,U2,2000-12-12,32,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,18.0,16.5
33,Beautiful Day,U2,2000-12-19,28,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,18.5,14.5
34,Beautiful Day,U2,2000-12-26,25,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,19.0,13.0
35,Beautiful Day,U2,2001-01-02,28,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,19.5,13.0
36,Beautiful Day,U2,2001-01-09,24,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,20.0,12.5
37,Beautiful Day,U2,2001-01-16,22,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,20.5,11.5
38,Beautiful Day,U2,2001-01-23,21,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,21.0,11.0
39,Beautiful Day,U2,2001-01-30,21,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,21.5,11.0
40,Beautiful Day,U2,2001-02-06,21,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,22.0,11.0
41,Beautiful Day,U2,2001-02-13,25,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,22.5,11.0
42,Beautiful Day,U2,2001-02-20,26,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,23.0,11.0
43,Beautiful Day,U2,2001-02-27,36,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,23.5,11.0
44,Beautiful Day,U2,2001-03-06,33,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,24.0,11.0
45,Beautiful Day,U2,2001-03-13,38,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,24.5,11.0
46,Beautiful Day,U2,2001-03-20,46,"Indie Rock,Adult Alternative,Adult Contemporary,Rock","October 9, 2000",0.01825,0.5395000000000001,245633.5,0.9195,0,0.001465,2.0,0.352,0.8884833333333333,1,114,0.049100000000000005,136.272,0.45299999999999996,2000,25.0,11.0
52,Clocks,Coldplay,2003-02-04,67,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,12.0,48.0
53,Clocks,Coldplay,2003-02-11,62,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,12.5,45.5
54,Clocks,Coldplay,2003-02-18,55,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,13.0,42.0
55,Clocks,Coldplay,2003-02-25,50,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,13.5,39.5
56,Clocks,Coldplay,2003-03-04,54,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,14.0,39.5
57,Clocks,Coldplay,2003-03-11,49,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,14.5,39.0
58,Clocks,Coldplay,2003-03-18,47,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,15.0,38.0
59,Clocks,Coldplay,2003-03-25,44,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,15.5,36.5
60,Clocks,Coldplay,2003-04-01,42,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,16.0,35.5
61,Clocks,Coldplay,2003-04-08,42,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,16.5,35.5
62,Clocks,Coldplay,2003-04-15,40,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,17.0,34.5
63,Clocks,Coldplay,2003-04-22,35,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,17.5,32.0
64,Clocks,Coldplay,2003-04-29,31,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,18.0,30.0
65,Clocks,Coldplay,2003-05-06,30,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,18.5,29.5
66,Clocks,Coldplay,2003-05-13,29,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,19.0,29.0
67,Clocks,Coldplay,2003-05-20,29,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,19.5,29.0
68,Clocks,Coldplay,2003-05-27,29,"Adult Alternative,Adult Contemporary,Piano,British Rock,Pop-Rock,UK,Alternative,Alternative Rock,Rock","August 26, 2002",0.599,0.5770000000000001,307880.0,0.7490000000000001,0,0.0115,5.0,0.183,0.87975,0,129,0.0279,130.97,0.255,2002,20.0,29.0
