,Name,Artist,Weeks.on.chart,Peak.position
139,Heroin,The Velvet Underground,,
140,Hey Joe,Jimi Hendrix,,
141,Hey Jude,The Beatles,19,1
142,Hey Ya!,Outkast,32,1
143,Higher Ground,Stevie Wonder,14,4
144,Highway 61 Revisited,Bob Dylan,,
145,Highway To Hell,Ac/Dc,10,47
146,Hit The Road Jack,Ray Charles,11,1
147,Hoochie Coochie Man,Muddy Waters,,
148,Hot Fun In The Summertime,"Sly, The Family Stone",16,2
149,Hotel California,The Eagles,19,1
150,Hound Dog,Elvis Presley,28,1
151,How Deep Is Your Love,Bee Gees,33,1
152,How Soon Is Now?,The Smiths,,
153,I Can See For Miles,The Who,11,9
154,I Can'T Explain,The Who,2,93
155,I Can'T Make You Love Me,Bonnie Raitt,20,18
156,I Can'T Stop Loving You,Ray Charles,18,1
157,I Fall To Pieces,Patsy Cline,20,12
158,I Feel Love,Donna Summer,23,6
159,I Fought The Law,The Bobby Fuller Four,11,9
160,I Got A Woman,Ray Charles,,
161,I Got You (I Feel Good),James Brown,12,3
162,I Got You Babe,"Sonny, Cher",14,1
163,I Heard It Through The Grapevine,Marvin Gaye,15,1
164,I Know You Got Soul,"Eric B., Rakim",,
165,I Love Rock 'N Roll,"Joan Jett, The Blackhearts",20,1
166,I Never Loved A Man (The Way I Love You),Aretha Franklin,11,9
167,I Only Have Eyes For You,The Flamingos,13,11
168,I Put A Spell On You,Screamin' Jay Hawkins,,
169,I Shot The Sheriff,"Bob Marley, The Wailers",,
170,I Still Haven'T Found What I'M Looking For,U2,17,1
171,I Walk The Line,Johnny Cash,22,17
172,I Wanna Be Your Dog,The Stooges,,
173,I Want To Hold Your Hand,The Beatles,15,1
174,I Want To Know What Love Is,Foreigner,21,1
175,I Will Survive,Gloria Gaynor,27,1
176,I'Ll Feel A Whole Lot Better,The Byrds,,
177,I'Ll Take You There,The Staple Singers,15,1
178,I'M A Man,Bo Diddley,,
179,I'M Eighteen,Alice Cooper,13,21
180,I'M Waiting For The Man,The Velvet Underground,,
181,Ignition - Remix,R. Kelly,42,2
182,Imagine,John Lennon,9,3
183,In Bloom,Nirvana,,
184,In Da Club,50 Cent,30,1
185,In Dreams,Roy Orbison,13,7
186,In My Life,The Beatles,,
187,In My Room,The Beach Boys,11,23
188,In The Still Of The Night,The Five Satins,19,24
189,Into The Mystic,Van Morrison,,
190,Iron Man,Black Sabbath,10,52
191,It'S Your Thing,The Isley Brothers,14,2
192,Jailhouse Rock,Elvis Presley,27,1
193,Jesus Walks,Kanye West,25,11
194,Jim Dandy,Lavern Baker,19,17
195,Johnny B. Goode,Chuck Berry,15,8
196,Jolene,Dolly Parton,8,60
197,Juicy,The Notorious B.I.G.,20,27
198,Just Like A Woman,Bob Dylan,6,33
199,Just Like Heaven,The Cure,19,40
200,Just My Imagination,The Temptations,15,1
201,Killing Me Softly With His Song,Roberta Flack,16,1
202,Kiss,Prince,18,1
203,Knockin' On Heaven'S Door,Bob Dylan,16,12
204,La Bamba,Ritchie Valens,15,22
205,Lady Marmalade,Labelle,18,1
206,Last Nite,The Strokes,,
207,Layla,"Derek, The Dominos",15,10
208,Leader Of The Pack,The Shangri-Las,12,1
209,Lean On Me,Bill Withers,19,1
210,Let It Be,The Beatles,14,1
211,Let'S Get It On,Marvin Gaye,14,1
212,Let'S Stay Together,Al Green,16,1
213,Light My Fire,The Doors,17,1
214,Like A Prayer,Madonna,16,1
215,Like A Rolling Stone,Bob Dylan,12,2
216,Little Wing,Jimi Hendrix,,
217,London Calling,The Clash,,
218,Lonely Teardrops,Jackie Wilson,21,7
219,Long Tall Sally,Little Richard,19,6
220,Loser,Beck,24,10
221,Losing My Religion,R.E.M.,21,4
222,Louie Louie,The Kingsmen,16,2
223,Love And Happiness,Al Green,12,3
224,Love Me Tender,Elvis Presley,23,1
225,Love Shack,The B-52'S,27,3
226,Love Will Tear Us Apart,Joy Division,,
227,Mack The Knife,Bobby Darin,26,1
228,Mannish Boy,Muddy Waters,,
229,Many Rivers To Cross,Jimmy Cliff,,
230,Maps,Yeah Yeah Yeahs,13,87
231,Marquee Moon,Television,,
232,Maybe,The Chantels,18,15
233,Maybe I'M Amazed,Paul Mccartney,13,10
234,Maybellene,Chuck Berry,11,5
235,Midnight Train To Georgia,"Gladys Knight, The Pips",19,1
236,Miss You,The Rolling Stones,20,1
237,Mississippi,Bob Dylan,,
238,Money (That'S What I Want),Barrett Strong,17,23
239,Money Honey,The Drifters,,
240,Monkey Gone To Heaven,Pixies,,
241,Moondance,Van Morrison,4,92
242,Mr. Tambourine Man,The Byrds,13,1
243,Mustang Sally,Wilson Pickett,9,23
244,My Generation,The Who,5,74
245,My Girl,The Temptations,13,1
246,My Sweet Lord,George Harrison,14,1
247,Mystery Train,Elvis Presley,,
248,New Year'S Day,U2,12,53
249,No Woman No Cry,Bob Marley,,
250,Norwegian Wood (This Bird Has Flown),The Beatles,,
251,Nothing Compares 2 U,Sinead O'Connor,21,1
252,Nowhere To Run,"Martha, The Vandellas",11,8
253,"Nuthin' But A ""G"" Thang",Dr. Dre,27,2
254,O-O-H Child,The Five Stairsteps,16,8
255,Ode To Billie Joe,Bobbie Gentry,14,1
256,Oh,Roy Orbison,15,1
257,Oh,The Dells,11,10
258,One,U2,20,10
259,One More Time,Daft Punk,16,61
260,One Way Or Another,Blondie,14,24
261,Only The Lonely,Roy Orbison,21,2
262,Ooo Baby Baby,"Smokey Robinson, The Miracles",11,16
263,Paint It Black,The Rolling Stones,11,1
264,Papa Was A Rollin' Stone,The Temptations,16,1
265,Papa'S Got A Brand New Bag,James Brown,,
266,Paper Planes,M.I.A.,21,4
267,Paradise City,Guns N' Roses,17,5
268,Paranoid,Black Sabbath,8,61
269,Paranoid Android,Radiohead,,
270,Peggy Sue,Buddy Holly,22,3
271,Penny Lane,The Beatles,10,1
272,People Get Ready,The Impressions,8,14
273,Personal Jesus,Depeche Mode,20,28
274,Personality Crisis,New York Dolls,,
275,Piano Man,Billy Joel,14,25
276,Pictures Of You,The Cure,8,71
277,Piece Of My Heart,"Big Brother, The Holding Company",12,12
278,Pink Houses,John Cougar Mellencamp,16,8
279,Planet Rock,"Afrika Bambaataa, The Soulsonic Force",11,48
280,Please Please Me,The Beatles,13,3
281,Positively 4Th Street,Bob Dylan,9,7
282,Pressure Drop,"Toots, The Maytals",,
283,Pride (In The Name Of Love),U2,15,33
284,Proud Mary,Creedence Clearwater Revival,14,2
285,Purple Haze,Jimi Hendrix,8,65
286,Push It,Salt-N-Pepa,25,19
287,Radio Free Europe,R.E.M.,5,78
288,Rain,The Beatles,7,23
289,Ramble On,Led Zeppelin,,
290,Rapper'S Delight,Sugarhill Gang,12,36
291,Rave On,Buddy Holly,10,37
292,Reach Out,The Four Tops,15,1
