,Name,Artist,Weeks.on.chart,Peak.position
630,Crawling,Linkin Park,20.0,79.0
631,Crawling In The Dark,Hoobastank,19.0,68.0
632,Crazier,Taylor Swift,8.0,17.0
633,Crazy,Gnarls Barkley,29.0,2.0
634,Crazy Bitch,Buckcherry,20.0,59.0
635,Crazy For This Girl,Evan And Jaron,23.0,15.0
636,Crazy Girl,Eli Young Band,36.0,30.0
637,Crazy Town,Jason Aldean,17.0,51.0
638,Criminal,Britney Spears,6.0,55.0
639,Criminal,"Natti Natasha, Ozuna",3.0,95.0
640,Cruise,Florida Georgia Line,54.0,4.0
641,Crush,David Archuleta,23.0,2.0
642,Crushcrushcrush,Paramore,17.0,54.0
643,Crushed Up,Future,5.0,43.0
644,Crushin' It,Brad Paisley,15.0,66.0
645,Cry,Faith Hill,26.0,33.0
646,Cry For You,September,10.0,74.0
647,Cry Me A River,Justin Timberlake,20.0,3.0
648,Crying In The Club,Camila Cabello,9.0,47.0
649,Crying Out For Me,Mario,20.0,33.0
650,Crzy,Kehlani,5.0,85.0
652,Cupid Shuffle,Cupid,13.0,66.0
654,Daddy Won'T Sell The Farm,Montgomery Gentry,6.0,79.0
655,Damaged,Danity Kane,22.0,10.0
656,Dance Tonight,Lucy Pearl,19.0,36.0
657,Dance With Me,112,20.0,39.0
658,Dance With Me,Debelah Morgan,29.0,8.0
659,Dance With My Father,Luther Vandross,20.0,38.0
660,"Dance, Dance",Fall Out Boy,31.0,9.0
661,Dancing On My Own,Calum Scott,2.0,93.0
662,Dancing With A Stranger,"Sam Smith, Normani",24.0,7.0
663,Danger,Erykah Badu,11.0,82.0
664,Dangerous Woman,Ariana Grande,21.0,8.0
665,Dani California,Red Hot Chili Peppers,26.0,6.0
666,Danza Kuduro,"Don Omar, Lucenzo",5.0,82.0
667,Dare,Gorillaz,5.0,87.0
668,Dare You To Move,Switchfoot,20.0,17.0
669,Dark Necessities,Red Hot Chili Peppers,2.0,67.0
670,Dark Queen,Lil Uzi Vert,2.0,91.0
671,Dark Side,Kelly Clarkson,15.0,42.0
672,Darte Un Beso,Prince Royce,12.0,78.0
673,Dashboard,Modest Mouse,6.0,61.0
674,Daughters,John Mayer,23.0,19.0
675,Day Drinking,Little Big Town,20.0,40.0
676,Daylight,Maroon 5,25.0,7.0
677,Daylight,Matt And Kim,2.0,95.0
678,Days Go By,Dirty Vegas,20.0,14.0
679,Days Go By,Keith Urban,19.0,31.0
680,Dear Future Husband,Meghan Trainor,24.0,14.0
683,Dedicate,Lil Wayne,2.0,14.0
684,Deja Vu,J. Cole,20.0,7.0
685,Delicate,Taylor Swift,35.0,12.0
686,Dem Boyz,Boyz N Da Hood,12.0,56.0
687,Demons,Imagine Dragons,61.0,6.0
689,Despacito,"Luis Fonsi, Daddy Yankee",52.0,1.0
690,Desperate Man,Eric Church,15.0,68.0
691,Desperately,George Strait,14.0,44.0
692,Dessert,Dawin,11.0,68.0
693,Diamond In The Back,Ludacris,3.0,94.0
694,Diamonds,Rihanna,26.0,1.0
695,Diamonds Dancing,"Drake, Future",8.0,53.0
697,Dibs,Kelsea Ballerini,17.0,58.0
698,Did It For The Girl,Greg Bates,16.0,66.0
699,Did My Time,Korn,10.0,38.0
700,Did You Ever Think,R. Kelly,16.0,27.0
701,Did You Wrong,Pleasure P,4.0,90.0
702,Didn'T You Know How Much I Loved You,Kellie Pickler,2.0,97.0
703,Die A Happy Man,Thomas Rhett,30.0,21.0
704,Die For You,The Weeknd,3.0,43.0
705,Die In Your Arms,Justin Bieber,2.0,17.0
706,Die Young,Roddy Ricch,2.0,99.0
707,Differences,Ginuwine,30.0,4.0
708,Dig,Incubus,3.0,94.0
709,Digital Dash,"Drake, Future",7.0,62.0
711,Dip It Low,Christina Milian,30.0,5.0
712,Dirt,Florida Georgia Line,20.0,11.0
713,Dirt On My Boots,Jon Pardi,20.0,37.0
714,Dirt Road Anthem,Jason Aldean,27.0,7.0
715,Dirty Laundry,Carrie Underwood,16.0,48.0
716,Disco Inferno,50 Cent,29.0,3.0
717,Disease,Matchbox Twenty,20.0,29.0
719,Disturbia,Rihanna,37.0,1.0
720,Dive,Ed Sheeran,2.0,49.0
721,Dive In,Trey Songz,12.0,77.0
722,Dna,Bts,4.0,67.0
723,Dna.,Kendrick Lamar,20.0,4.0
724,Do I,Luke Bryan,20.0,34.0
725,Do I Make You Wanna,Billy Currington,19.0,47.0
726,Do I Wanna Know?,Arctic Monkeys,20.0,70.0
727,Do It Well,Jennifer Lopez,10.0,31.0
728,Do Not Disturb,Drake,2.0,60.0
729,Do Re Mi,Blackbear,25.0,40.0
731,Do The John Wall,Troop 41,8.0,76.0
732,Do You Believe Me Now,Jimmy Wayne,20.0,36.0
734,Do You Want To,Franz Ferdinand,4.0,76.0
735,Doa,Foo Fighters,12.0,68.0
736,Doesn'T Mean Anything,Alicia Keys,10.0,60.0
737,Doesn'T Remind Me,Audioslave,11.0,68.0
738,Dog Days Are Over,Florence + The Machine,20.0,21.0
739,Doin' What She Likes,Blake Shelton,17.0,35.0
740,Domino,Jessie J,29.0,6.0
741,Don'T,Billy Currington,20.0,52.0
742,Don'T,Bryson Tiller,34.0,13.0
743,Don'T,Ed Sheeran,36.0,9.0
744,Don'T Blink,Kenny Chesney,20.0,29.0
745,Don'T Bother,Shakira,9.0,42.0
746,Don'T Call Me Baby,Madison Avenue,20.0,88.0
747,Don'T Call Me Up,Mabel,10.0,66.0
748,Don'T Dream It'S Over,Sixpence None The Richer,6.0,78.0
749,Don'T Forget,Demi Lovato,9.0,41.0
750,Don'T Forget About Us,Mariah Carey,21.0,1.0
751,Don'T Forget To Remember Me,Carrie Underwood,17.0,49.0
752,Don'T Happen Twice,Kenny Chesney,20.0,26.0
754,Don'T It,Billy Currington,20.0,44.0
755,Don'T Judge Me,Chris Brown,20.0,67.0
756,Don'T Know Why,Norah Jones,31.0,30.0
758,Don'T Matter,Akon,23.0,1.0
759,Don'T Mind,Kent Jones,20.0,8.0
760,"Don'T Say No, Just Say Yes",Avant,4.0,96.0
761,Don'T Say You Love Me,M2M,12.0,21.0
762,Don'T Stop,5 Seconds Of Summer,3.0,47.0
763,Don'T Stop The Music,Rihanna,30.0,3.0
764,Don'T Take Your Love Away,Avant,20.0,37.0
765,Don'T Tell Me,Avril Lavigne,20.0,22.0
766,Don'T Tell Me,Madonna,21.0,4.0
767,Don'T Think I Can'T Love You,Jake Owen,15.0,57.0
768,Don'T Think I Don'T Think About It,Darius Rucker,20.0,35.0
769,Don'T Think I'M Not,Kandi,24.0,24.0
770,Don'T Wake Me Up,Chris Brown,28.0,10.0
771,Don'T Wanna Go Home,Jason Derulo,15.0,14.0
772,Don'T Wanna Try,Frankie J,20.0,19.0
773,Don'T Worry 'Bout A Thing,Shedaisy,10.0,59.0
774,Don'T Ya,Brett Eldredge,20.0,30.0
775,Don'T You Forget It,Glenn Lewis,20.0,30.0
776,Donald Trump,Mac Miller,7.0,75.0
777,Done.,The Band Perry,20.0,43.0
778,Double Vision,3Oh!3,4.0,87.0
779,Down,Marian Hill,17.0,21.0
780,Down In The Dm,Yo Gotti,21.0,13.0
782,Down To The Honkytonk,Jake Owen,13.0,65.0
783,Downfall,Trustcompany,4.0,91.0
784,Drag Me Down,One Direction,20.0,3.0
785,Drank In My Cup,Kirko Bangz,22.0,28.0
786,Dreaming With A Broken Heart,John Mayer,2.0,99.0
787,Dreams,The Game,13.0,32.0
788,Drew Barrymore,Bryce Vine,14.0,46.0
789,Drift Away,Uncle Kracker,35.0,9.0
790,Drink A Beer,Luke Bryan,20.0,31.0
791,Drink In My Hand,Eric Church,20.0,40.0
792,Drink On It,Blake Shelton,19.0,39.0
793,Drink To That All Night,Jerrod Niemann,20.0,34.0
794,Drinkin' Bone,Tracy Byrd,16.0,60.0
795,Drinkin' Problem,Midland,20.0,45.0
796,Drinking Class,Lee Brice,22.0,53.0
797,Drive,Incubus,39.0,9.0
798,Drive By,Train,36.0,10.0
799,Drowning,Backstreet Boys,20.0,28.0
800,Drunk Girl,Chris Janson,10.0,79.0
801,Drunk Last Night,Eli Young Band,20.0,41.0
802,Drunk Me,Mitchell Tenpenny,21.0,39.0
803,Drunk On A Plane,Dierks Bentley,20.0,27.0
804,Drunk On You,Luke Bryan,24.0,16.0
805,Drunk On Your Love,Brett Eldredge,15.0,35.0
808,Dura,Daddy Yankee,21.0,43.0
809,Dynamite,Taio Cruz,47.0,2.0
810,E.I.,Nelly,20.0,15.0
811,E.T.,Katy Perry,30.0,1.0
812,Earfquake,"Tyler, The Creator",6.0,13.0
813,Earth,Lil Dicky,6.0,17.0
814,Easier,5 Seconds Of Summer,5.0,48.0
815,Echo,Gorilla Zoe,9.0,57.0
816,Eight Second Ride,Jake Owen,13.0,70.0
817,Either Way,Chris Stapleton,2.0,89.0
818,El Amante,Nicky Jam,15.0,92.0
819,Element.,Kendrick Lamar,11.0,16.0
820,Elevate,Drake,3.0,14.0
822,Emotional,Carl Thomas,20.0,47.0
823,Emotional Rollercoaster,Vivian Green,19.0,39.0
824,Emotionless,Drake,4.0,8.0
825,Emperor'S New Clothes,Panic! At The Disco,4.0,68.0
826,Empire,Shakira,12.0,58.0
827,Empty,Juice Wrld,3.0,41.0
830,Encore,"Eminem, Dr. Dre, 50 Cent",15.0,25.0
831,Energy,Drake,20.0,26.0
832,Energy,Keri Hilson,9.0,78.0
833,Envy Me,Calboy,27.0,31.0
835,Escape,Enrique Iglesias,20.0,12.0
836,Even If It Breaks Your Heart,Eli Young Band,20.0,29.0
838,Ever The Same,Rob Thomas,20.0,48.0
840,Every Girl,Young Money,20.0,10.0
841,Every Little Thing,Carly Pearce,17.0,50.0
842,Every Mile A Memory,Dierks Bentley,16.0,48.0
843,Every Morning,Sugar Ray,31.0,3.0
844,Every Teardrop Is A Waterfall,Coldplay,18.0,14.0
845,Every Time I Hear That Song,Blake Shelton,11.0,56.0
846,Every Time I Hear Your Name,Keith Anderson,19.0,64.0
847,Everybody,Logic,2.0,59.0
849,Everybody Dies In Their Nightmares,Xxxtentacion,7.0,42.0
850,Everybody Talks,Neon Trees,39.0,6.0
851,Everyday,"Logic, Marshmello",13.0,29.0
852,Everyday America,Sugarland,10.0,68.0
853,Everyone Falls In Love,"Tanto Metro, Devonte",16.0,88.0
855,Everything To Me,Monica,18.0,44.0
856,Everything You Want,Vertical Horizon,41.0,1.0
857,Everything'S Gonna Be Alright,"David Lee Murphy, Kenny Chesney",13.0,66.0
859,Everytime,Britney Spears,18.0,15.0
860,Everytime We Touch,Cascada,31.0,10.0
861,Everywhere,Michelle Branch,20.0,12.0
862,Ex'S & Oh'S,Elle King,38.0,10.0
863,Exchange,Bryson Tiller,34.0,26.0
864,Eyes On You,Chase Rice,19.0,38.0
865,Eyes Open,Taylor Swift,13.0,19.0
867,Face Down,The Red Jumpsuit Apparatus,43.0,24.0
868,Fade,Staind,17.0,62.0
869,Faded,Alan Walker,8.0,80.0
871,Faint,Linkin Park,20.0,48.0
873,Faith,George Michael,21.0,1.0
874,Fake It,Seether,20.0,56.0
875,Fake Love,Bts,6.0,10.0
876,Fake Love,Drake,25.0,8.0
877,Fake Smile,Ariana Grande,2.0,26.0
878,Fall,Clay Walker,18.0,55.0
879,Fall,Eminem,4.0,12.0
880,Fall For You,Secondhand Serenade,30.0,21.0
881,Fall Into Me,Emerson Drive,20.0,34.0
882,Fall To Pieces,Velvet Revolver,20.0,67.0
883,Fallin',Alicia Keys,34.0,1.0
884,Fallin' For You,Colbie Caillat,31.0,12.0
885,Falling In Love At A Coffee Shop,Landon Pigg,2.0,93.0
886,Falls Apart,Sugar Ray,20.0,29.0
887,Falls On Me,Fuel,14.0,52.0
888,False Prophets,J. Cole,2.0,54.0
889,Family Affair,Mary J. Blige,41.0,1.0
890,Family Portrait,P!Nk,20.0,20.0
891,Famous,Kanye West,14.0,34.0
892,Famous In A Small Town,Miranda Lambert,8.0,87.0
893,Famous Last Words,My Chemical Romance,7.0,88.0
894,Far Away,Marsha Ambrosius,18.0,74.0
895,Far Away,Nickelback,30.0,8.0
896,Farmer'S Daughter,Rodney Atkins,21.0,47.0
897,Fast,Juice Wrld,2.0,47.0
898,Fast,Luke Bryan,13.0,58.0
899,Fast Cars And Freedom,Rascal Flatts,20.0,38.0
900,Fast Lane,Bad Meets Evil,2.0,32.0
901,Faster,Matt Nathanson,12.0,74.0
902,Fastest Girl In Town,Miranda Lambert,19.0,47.0
903,Fat Lip,Sum 41,12.0,66.0
904,Faucet Failure,Ski Mask The Slump God,11.0,87.0
905,Favorite Girl,Justin Bieber,2.0,26.0
906,Fear.,Kendrick Lamar,2.0,50.0
907,Fearless,Taylor Swift,15.0,9.0
909,Feel Again,Onerepublic,20.0,36.0
910,Feel It Still,Portugal. The Man,45.0,4.0
911,Feel No Ways,Drake,6.0,53.0
912,Feel That Fire,Dierks Bentley,21.0,32.0
913,Feel.,Kendrick Lamar,2.0,35.0
914,Feelin' On Yo Booty,R. Kelly,19.0,36.0
915,Feelin' Way Too Damn Good,Nickelback,16.0,48.0
916,Feels Like Summer,Childish Gambino,2.0,54.0
917,Feels Like Today,Rascal Flatts,13.0,56.0
918,Feels Like Tonight,Daughtry,20.0,24.0
919,Felices Los 4,Maluma,20.0,48.0
920,Felt Good On My Lips,Tim Mcgraw,20.0,26.0
921,Fever,The Black Keys,3.0,77.0
922,Fidelity,Regina Spektor,13.0,51.0
923,Fifteen,Taylor Swift,21.0,23.0
925,Fight Night,Migos,16.0,69.0
926,Fight Song,Rachel Platten,31.0,6.0
927,Fighter,Christina Aguilera,20.0,20.0
928,Figured You Out,Nickelback,19.0,65.0
929,Fill Me In,Craig David,27.0,15.0
930,Find A Way,Dwele,12.0,93.0
931,Find Your Love,Drake,21.0,5.0
933,Fine Again,Seether,20.0,61.0
934,Fine By Me,Andy Grammer,10.0,84.0
935,Fine China,Chris Brown,16.0,31.0
936,Fine China,"Future, Juice Wrld",13.0,26.0
937,Finesse,Drake,2.0,42.0
939,Fire & Desire,Drake,4.0,75.0
940,Fire Burning,Sean Kingston,21.0,5.0
942,Firecracker,Josh Turner,20.0,50.0
943,Fireflies,Owl City,31.0,1.0
944,Fireman,Lil Wayne,17.0,32.0
945,Firework,Katy Perry,39.0,1.0
946,First Day Out,Tee Grizzley,20.0,48.0
949,First Time,Lifehouse,26.0,26.0
950,Fish,Craig Campbell,10.0,83.0
951,Fistful Of Tears,Maxwell,4.0,94.0
952,Five More Minutes,Scotty Mccreery,20.0,44.0
953,Fix,Chris Lane,12.0,65.0
954,Fix A Drink,Chris Janson,14.0,67.0
956,Fix You,Coldplay,7.0,59.0
957,Flake,Jack Johnson,17.0,73.0
958,Flap Your Wings,Nelly,11.0,52.0
959,Flashing Lights,Kanye West,20.0,29.0
960,Flathead,The Fratellis,4.0,73.0
963,Float On,Modest Mouse,20.0,68.0
964,Flowers On The Wall,Eric Heatherly,20.0,50.0
965,Fly,"Maddie, Tae",14.0,61.0
966,Fly On The Wall,Miley Cyrus,2.0,84.0
967,Fly Over States,Jason Aldean,20.0,32.0
970,Focus,Ariana Grande,13.0,7.0
972,Foldin Clothes,J. Cole,2.0,30.0
973,Follow Me,Uncle Kracker,33.0,5.0
975,Foolish,Ashanti,32.0,1.0
977,Footloose,Blake Shelton,2.0,63.0
978,For Her,Chris Lane,4.0,92.0
980,For The First Time,Darius Rucker,10.0,58.0
981,For The First Time,The Script,29.0,23.0
982,For Whom The Bell Tolls,J. Cole,2.0,23.0
983,For You,Keith Urban,18.0,55.0
984,For You,Staind,20.0,63.0
985,For Your Entertainment,Adam Lambert,2.0,61.0
986,Forever,Chris Brown,33.0,2.0
987,Forever,Papa Roach,18.0,55.0
988,Forever And For Always,Shania Twain,23.0,20.0
989,Forgive,Rebecca Lynn Howard,5.0,71.0
990,Fortunate,Maxwell,25.0,4.0
992,Fourfiveseconds,"Rihanna, Kanye West, Paul Mccartney",20.0,4.0
994,Freaky Gurl,Gucci Mane,17.0,62.0
995,Free,Zac Brown Band,19.0,34.0
996,Free Smoke,Drake,4.0,18.0
997,Fresh Eyes,Andy Grammer,18.0,59.0
998,Frick Park Market,Mac Miller,2.0,60.0
999,Friday,Rebecca Black,6.0,58.0
1000,Friday Night,Eric Paslay,20.0,47.0
1001,From A Table Away,Sunny Sweeney,12.0,71.0
1002,From The Bottom Of My Broken Heart,Britney Spears,20.0,14.0
1003,From The Ground Up,Dan + Shay,16.0,48.0
1004,From Where You Are,Lifehouse,2.0,61.0
1005,From Yesterday,Thirty Seconds To Mars,8.0,76.0
1006,Full Moon,Brandy,20.0,18.0
1007,Funhouse,P!Nk,13.0,44.0
1008,Funny The Way It Is,Dave Matthews Band,8.0,37.0
1009,Furthest Thing,Drake,2.0,56.0
1011,Gallery,Mario Vazquez,20.0,35.0
1012,Galway Girl,Ed Sheeran,5.0,53.0
1013,Games,Luke Bryan,5.0,92.0
1014,Gangsta,Kehlani,12.0,41.0
1015,Gangsta Nation,Westside Connection,18.0,33.0
1016,Gasolina,Daddy Yankee,20.0,32.0
1017,Genie In A Bottle,Christina Aguilera,25.0,1.0
1018,Georgia Rain,Trisha Yearwood,9.0,78.0
1019,Geronimo,Sheppard,21.0,53.0
1020,Get Along,Kenny Chesney,21.0,22.0
1021,Get Back,Demi Lovato,6.0,43.0
1022,Get Back,Ludacris,20.0,13.0
1023,Get Buck,Young Buck,3.0,87.0
1024,Get Busy,Sean Paul,32.0,1.0
1025,Get By,Talib Kweli,10.0,77.0
1026,Get Drunk And Be Somebody,Toby Keith,20.0,47.0
1027,Get Gone,Ideal,22.0,13.0
1028,Get It On Tonite,Montell Jordan,32.0,4.0
1029,Get Low,"Dillon Francis, Dj Snake",9.0,61.0
1030,Get Me Some Of That,Thomas Rhett,20.0,41.0
1031,Get Right,Jennifer Lopez,17.0,12.0
1033,Get Silly,V.I.C.,17.0,29.0
1034,Get The Party Started,P!Nk,24.0,4.0
1035,Get Ugly,Jason Derulo,12.0,52.0
1036,Get Up,50 Cent,9.0,44.0
1037,Get Up,Amel Larrieux,3.0,97.0
1038,Get Up 10,Cardi B,2.0,38.0
1040,Get Your Shine On,Florida Georgia Line,20.0,27.0
1041,Gettin' Some,Shawnna,19.0,31.0
1042,Gettin' You Home,Chris Young,20.0,33.0
1043,Getting Away With Murder,Papa Roach,16.0,69.0
1044,Ghetto,Akon,5.0,92.0
1045,Ghost,Ella Henderson,20.0,21.0
1046,Ghost Town,Adam Lambert,17.0,64.0
1047,Ghostin,Ariana Grande,2.0,25.0
1048,Ghosts That We Knew,"Mumford, Sons",3.0,88.0
1049,Gimme More,Britney Spears,20.0,3.0
1050,Gimme That,Chris Brown,20.0,15.0
1051,Gimme The Light,Sean Paul,39.0,7.0
1052,Gimmie That Girl,Joe Nichols,20.0,34.0
1053,Ginza,J Balvin,15.0,84.0
1055,Girl,Maren Morris,17.0,59.0
1056,Girl,Paul Wall,16.0,35.0
1057,Girl All The Bad Guys Want,Bowling For Soup,9.0,64.0
1058,Girl Crush,Little Big Town,24.0,18.0
1059,Girl In A Country Song,"Maddie, Tae",20.0,54.0
1060,Girl Like You,Jason Aldean,19.0,46.0
1061,Girl Next Door,Saving Jane,20.0,31.0
1062,Girl On Fire,Alicia Keys,30.0,11.0
1063,Girl On Tv,Lfo,17.0,10.0
1064,Girlfriend,Avril Lavigne,24.0,1.0
1065,Girlfriend,"Bow Wow, Omarion",15.0,33.0
1066,Girls Chase Boys,Ingrid Michaelson,20.0,52.0
1067,Girls Like You,Maroon 5,52.0,1.0
1069,Give In To Me,"Garrett Hedlund, Leighton Meester",2.0,79.0
1071,Give It All We Got Tonight,George Strait,20.0,43.0
1072,Give It Away,George Strait,19.0,35.0
1073,Give It To Her,"Tanto Metro, Devonte",20.0,85.0
1074,Give It To You,Jordan Knight,20.0,10.0
1075,Give It Up To Me,Sean Paul,22.0,3.0
1076,Give Me A Sign,Breaking Benjamin,5.0,97.0
1077,Give Me Back My Hometown,Eric Church,20.0,36.0
1078,Give Your Heart A Break,Demi Lovato,32.0,16.0
1080,Glad You Came,The Wanted,37.0,3.0
1081,Glass,Thompson Square,11.0,84.0
1082,Glitter In The Air,P!Nk,18.0,18.0
1083,Glory And Gore,Lorde,3.0,68.0
1084,Go Flex,Post Malone,11.0,76.0
1086,Go Hard Or Go Home,"Wiz Khalifa, Iggy Azalea",2.0,86.0
1087,Go!,Common,6.0,79.0
1088,God Bless The Usa,Lee Greenwood,17.0,16.0
1089,God Gave Me You,Blake Shelton,25.0,22.0
1090,God Is A Woman,Ariana Grande,22.0,8.0
1091,God Love Her,Toby Keith,20.0,36.0
1092,God'S Country,Blake Shelton,13.0,18.0
1093,God'S Plan,Drake,36.0,1.0
1094,God'S Will,Martina Mcbride,8.0,85.0
1095,God.,Kendrick Lamar,2.0,58.0
1096,Goin' Crazy,Natalie,20.0,13.0
1099,Gold,Britt Nicole,3.0,83.0
1100,Gold,Kiiara,27.0,13.0
1101,Gold Lion,Yeah Yeah Yeahs,3.0,88.0
1102,Gold On The Ceiling,The Black Keys,6.0,94.0
1103,Gone,Montgomery Gentry,20.0,53.0
1104,"Gone, Gone, Gone",Phillip Phillips,30.0,24.0
1105,Gonna,Blake Shelton,18.0,54.0
1106,Gonna Know We Were Here,Jason Aldean,16.0,54.0
1107,Gonna Wanna Tonight,Chase Rice,12.0,67.0
1108,Good As You,Kane Brown,18.0,36.0
1109,Good Directions,Billy Currington,20.0,42.0
1110,Good Drank,"2 Chainz, Gucci Mane, Quavo",16.0,70.0
1111,Good Feeling,Flo Rida,37.0,3.0
1112,Good Form,Nicki Minaj,6.0,60.0
1113,Good Girl,Carrie Underwood,20.0,18.0
1114,Good Girl,Dustin Lynch,15.0,44.0
1115,Good Girls,5 Seconds Of Summer,2.0,34.0
1116,Good Good Night,Roscoe Dash,4.0,91.0
1117,Good Life,Onerepublic,35.0,8.0
1118,Good Luck Charm,Jagged Edge,10.0,73.0
1119,Good Morning,Chamillionaire,3.0,40.0
1120,Good Morning Beautiful,Steve Holy,20.0,29.0
1121,Good Time,Alan Jackson,20.0,40.0
1122,Good Time,"Owl City, Carly Rae Jepsen",24.0,8.0
1123,Goodbye,Jagged Edge,15.0,58.0
1124,Goodbye,Kristinia Debarge,16.0,15.0
1125,Goodbye For Now,P.O.D.,2.0,48.0
1126,Goodbye In Her Eyes,Zac Brown Band,20.0,48.0
1127,Goodbye My Lover,James Blunt,4.0,66.0
1128,Goodbye Time,Blake Shelton,9.0,73.0
1129,Goodbye To You,Michelle Branch,20.0,21.0
1130,Goodnight Kiss,Randy Houser,16.0,52.0
1132,Goosebumps,Travis Scott,34.0,32.0
1133,Gorgeous,Taylor Swift,4.0,13.0
1134,Gorilla,Bruno Mars,16.0,22.0
1135,Got Some Teeth,Obie Trice,11.0,54.0
1136,Got Ur Self A...,Nas,19.0,87.0
1137,Gots Ta Be,B2K,17.0,34.0
1138,Gotta Be Somebody,Nickelback,27.0,10.0
1139,Gotta Go,Trey Songz,18.0,67.0
1140,Gotta Man,Eve,16.0,26.0
1141,Gotta Tell You,Samantha Mumba,22.0,4.0
1143,Grace Kelly,Mika,14.0,57.0
1144,Grass Ain'T Greener,Chris Brown,4.0,71.0
1145,Gravity,John Mayer,4.0,71.0
1146,Greatest,Eminem,2.0,23.0
1147,Greatest Love Of All,Whitney Houston,20.0,1.0
1148,Greatest Love Story,Lanco,21.0,45.0
1150,Green Light,Lorde,9.0,19.0
1151,Grenade,Bruno Mars,36.0,1.0
1152,Grind With Me,Pretty Ricky,22.0,7.0
1153,Grindin',Clipse,20.0,30.0
1154,Grown Men Don'T Cry,Tim Mcgraw,20.0,25.0
1155,Guap,Big Sean,12.0,71.0
1157,Gucci Gang,Lil Pump,24.0,3.0
1158,Gucci Gucci,Kreayshawn,10.0,57.0
1159,Guerrilla Radio,Rage Against The Machine,20.0,69.0
1160,Gummo,6Ix9Ine,20.0,12.0
1161,Guys Like Me,Eric Church,2.0,99.0
1162,Guys My Age,Hey Violet,5.0,68.0
1163,Gyalchester,Drake,11.0,29.0
1164,Gypsy,Shakira,3.0,65.0
1165,H.O.L.Y.,Florida Georgia Line,22.0,14.0
1166,Hail To The King,Avenged Sevenfold,3.0,83.0
1168,Half Of My Heart,John Mayer,20.0,25.0
1169,Halfway Gone,Lifehouse,20.0,50.0
1174,Handclap,Fitz And The Tantrums,20.0,53.0
1175,Handlebars,Flobots,20.0,37.0
1176,Hands Clean,Alanis Morissette,20.0,23.0
1177,Hands To Myself,Selena Gomez,20.0,7.0
1178,Handsome And Wealthy,Migos,8.0,79.0
1179,Hangin' On,Chris Young,13.0,63.0
1180,Hanginaround,Counting Crows,20.0,28.0
1181,Hanging By A Moment,Lifehouse,53.0,2.0
1182,Happier,Ed Sheeran,2.0,59.0
1183,Happier,"Marshmello, Bastille",45.0,2.0
1184,Happily Ever After,Case,20.0,15.0
1185,Happy,Ashanti,23.0,8.0
1186,Happy,Leona Lewis,9.0,31.0
1188,Happy?,Mudvayne,4.0,89.0
1190,Hard To Love,Lee Brice,23.0,27.0
1191,Harder To Breathe,Maroon 5,22.0,18.0
1192,Harlem Shake,Baauer,20.0,1.0
1193,Hate Me,Blue October,28.0,31.0
1194,Hate To Say I Told You So,The Hives,11.0,86.0
1195,Haunted,Taylor Swift,2.0,63.0
1196,Have A Nice Day,Bon Jovi,15.0,53.0
1198,Have You Forgotten?,Darryl Worley,20.0,22.0
1200,He Can'T Love U,Jagged Edge,20.0,15.0
1201,He Could Be The One,Hannah Montana,5.0,10.0
1202,He Didn'T Have To Be,Brad Paisley,20.0,30.0
1203,He Is,Heather Headley,13.0,90.0
1204,He Wasn'T Man Enough,Toni Braxton,37.0,2.0
1205,Head Above Water,Avril Lavigne,2.0,64.0
1206,Head Over Boots,Jon Pardi,24.0,51.0
1208,Headlines,Drake,25.0,13.0
1209,Headsprung,Ll Cool J,20.0,16.0
1210,Headstrong,Trapt,43.0,16.0
1211,Hear Me Calling,Juice Wrld,4.0,38.0
1212,Heard It All Before,Sunshine Anderson,20.0,18.0
1213,Heart Attack,Demi Lovato,20.0,10.0
1214,Heart Attack,Trey Songz,26.0,35.0
1215,Heart Like Mine,Miranda Lambert,20.0,44.0
1216,Heartache On The Dance Floor,Jon Pardi,18.0,47.0
1217,Heartbeat,Carrie Underwood,14.0,42.0
1218,Heartbeat,The Fray,18.0,42.0
1219,Heartbeat Song,Kelly Clarkson,20.0,21.0
1220,Heartbreak Warfare,John Mayer,20.0,34.0
1221,Heartbreaker,Justin Bieber,2.0,13.0
1222,Heartless,Kanye West,30.0,2.0
1224,Heathens,Twenty One Pilots,39.0,2.0
1226,Heaven,Kane Brown,27.0,15.0
1227,Heaven,Los Lonely Boys,30.0,16.0
1228,Heaven Sent,Keyshia Cole,20.0,28.0
1229,Heavy,Collective Soul,20.0,73.0
1231,Hell Of A Night,Dustin Lynch,16.0,55.0
1232,Hell On Heels,Pistol Annies,3.0,55.0
1233,Hell On The Heart,Eric Church,12.0,67.0
1234,Hell Yeah,Montgomery Gentry,20.0,45.0
1235,Hella Good,No Doubt,20.0,13.0
1236,Hello,Adele,26.0,1.0
1238,Helluva Life,Frankie Ballard,20.0,51.0
1240,Her Diamonds,Rob Thomas,20.0,23.0
1241,Here,Alessia Cara,34.0,5.0
1242,Here Comes Goodbye,Rascal Flatts,16.0,11.0
1243,Here Comes Santa Claus,Gene Autry,3.0,28.0
1244,Here For A Good Time,George Strait,20.0,46.0
1245,Here For The Party,Gretchen Wilson,17.0,39.0
1246,Here It Goes Again,Ok Go,20.0,38.0
1247,Here To Stay,Korn,12.0,72.0
1248,Here Tonight,Brett Young,20.0,42.0
1249,Here We Go Again,Demi Lovato,9.0,15.0
1250,Here Without You,3 Doors Down,51.0,5.0
